Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Day_of_Week,Super_Bowl_Week,Labor_Day_Week,Thanksgiving_Week,Christmas_Week,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Sales_Lag_1,Sales_Lag_2,Sales_Lag_4,Rolling_Mean_4,Rolling_STD_4,EMA_4,Fuel_Unemployment_Interaction,Store_Avg_Sales
1,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,4,0,0,0,0,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1409727.59,1611968.17,1643690.9,1576836.025,112353.41511397276,1527137.1345588234,21.27825,1549808.7113274336
1,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,4,0,0,0,0,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,1554806.68,1409727.59,1641957.44,1554614.9699999997,103135.00254832554,1539138.1518390006,21.618702,1549808.7113274336
1,1472515.79,0,54.58,2.72,211.215635,8.106,2010,4,0,0,0,0,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,1439541.59,1554806.68,1611968.17,1504011.0075,95360.05083899511,1497349.8521952203,22.04832,1549808.7113274336
1,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,4,0,0,0,0,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1472515.79,1439541.59,1409727.59,1469147.9125,62599.4571500743,1487130.1408043404,22.145592,1549808.7113274336
1,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766366e-16,1404429.92,1472515.79,1554806.68,1467823.495,64308.38101632066,1453484.9423460674,21.229951999999997,1549808.7113274336
1,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,1594968.28,1404429.92,1439541.59,1477863.895,82871.76229599727,1510654.4139630771,21.62816,1549808.7113274336
1,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,1545418.53,1594968.28,1472515.79,1504333.13,83458.04335445474,1524644.6540095394,21.924864,1549808.7113274336
1,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,1466058.28,1545418.53,1404429.92,1502718.7525,84336.49103572944,1501124.7749770188,21.823359999999997,1549808.7113274336
1,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,1391256.12,1466058.28,1594968.28,1499425.3025,89550.29826614384,1457081.4402331223,21.706239999999998,1549808.7113274336
1,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,4,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,1425100.71,1391256.12,1545418.53,1456958.41,66432.18202288529,1444272.418668744,22.13568,1549808.7113274336
1,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,4,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,1603955.12,1425100.71,1466058.28,1471592.5575,93391.49007121939,1508195.5920617394,22.284032,1549808.7113274336
1,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,4,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,1494251.5,1603955.12,1391256.12,1478640.8625,93897.10021693469,1502615.3314823091,22.065408,1549808.7113274336
1,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,4,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,1399662.07,1494251.5,1425100.71,1480742.35,91348.94221530126,1461422.4059123413,21.542271999999997,1549808.7113274336
1,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,4,0,0,0,0,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,1432069.95,1399662.07,1603955.12,1482484.6600000001,89990.28757758501,1449679.4358548545,21.12064,1549808.7113274336
1,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,4,0,0,0,0,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,1615524.71,1432069.95,1494251.5,1485377.0575,95229.32666829095,1516024.283492764,20.831744,1549808.7113274336
1,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,4,0,0,0,0,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,1542561.09,1615524.71,1399662.07,1497454.455,99688.97915495554,1526639.652953536,20.589696,1549808.7113274336
1,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,4,0,0,0,0,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,1503284.06,1542561.09,1432069.95,1523359.9525,76594.02113840077,1517297.07419264,20.714624,1549808.7113274336
1,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,4,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,1422711.6,1503284.06,1615524.71,1521020.365,80362.22961956475,1479462.054530625,20.783503,1549808.7113274336
1,1546074.18,0,80.48,2.642,211.108414,7.787,2010,4,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,1492418.14,1422711.6,1542561.09,1490243.7225,49908.15900252272,1484644.5569313546,20.573254,1549808.7113274336
1,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,4,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,1546074.18,1492418.14,1503284.06,1491121.9949999999,51151.15051575243,1509216.6002116648,20.425301,1549808.7113274336
1,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,4,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,1448938.92,1546074.18,1422711.6,1477535.71,53982.92331296985,1485105.4138790036,20.308496,1549808.7113274336
1,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,4,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,1385065.2,1448938.92,1492418.14,1468124.1099999999,68149.99963895802,1445089.2145601946,20.55768,1549808.7113274336
1,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,4,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.5680647467311556,-0.8229838658936566,1371986.6,1385065.2,1546074.18,1438016.225,79497.4828344398,1415848.1188561504,20.456449,1549808.7113274336
1,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,4,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,1605491.78,1371986.6,1448938.92,1452870.625,107157.94638036602,1491705.6609531539,20.962604000000002,1549808.7113274336
1,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,4,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,1508237.76,1605491.78,1385065.2,1467695.335,110482.9544091712,1498318.5046328017,20.744568,1549808.7113274336
1,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,4,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,1513080.49,1508237.76,1371986.6,1499699.1575,96184.79455497244,1504223.3009553417,20.394153000000003,1549808.7113274336
1,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,4,0,0,0,0,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,1449142.92,1513080.49,1605491.78,1518988.2374999998,64579.938806430226,1482191.1437024695,20.067099,1549808.7113274336
1,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,4,0,1,0,0,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,1540163.53,1449142.92,1508237.76,1502656.175,38341.842131551464,1505380.101297366,19.973655,1549808.7113274336
1,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,4,0,0,0,0,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,1507460.69,1540163.53,1513080.49,1502461.9074999997,38306.08693123161,1506212.3368446543,20.106033999999998,1549808.7113274336
1,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,4,0,0,0,0,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,1430378.67,1507460.69,1449142.92,1481786.4525000001,50909.75664281918,1475878.8686583098,20.433088,1549808.7113274336
1,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,4,0,0,0,0,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,1351791.03,1430378.67,1540163.53,1457448.48,84141.29386439837,1426243.7317728808,20.402314,1549808.7113274336
1,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,4,0,0,0,0,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,1453329.5,1351791.03,1507460.69,1435739.9725,64625.64327920404,1437078.0392499778,20.637454,1549808.7113274336
